e1/do,e2/do,fu/fy,fmx/fndt,type
4.04,1.98,1.301653,1.01132,N
4.03,2.49,1.301653,1.161498,N
4.02,0.96,1.301653,0.819807,N
4.03,1.28,1.34188,0.917782,N
4.04,1.99,1.301653,1.200079,N
4.04,2.47,1.301653,1.348881,N
1.5,5.66,1.317982,1.932473,TO
1.5,3.78,1.317982,1.923813,TO
2.2,3.74,1.317982,2.113006,TO
2.48,2.48,1.263265,1.73044,N
1.99,1.03,1.256619,0.454878,N
2.01,1.51,1.245968,0.560894,N
2,2,1.260246,0.672782,N
2.01,3.01,1.257143,0.872724,N
2.56,1.52,1.258197,0.933057,N
1.51,1.51,1.26501,1.487435,N
1.98,1.01,1.247967,0.467941,N
2.01,1.51,1.249489,0.544114,N
2.03,2,1.261856,0.636837,N
1.99,2.99,1.259794,0.767159,N
4.06,4.01,1.266667,0.92513,N
1.51,1.5,1.260246,0.972472,N
